scenario,simulation,observed_homogenization,latent_homogenization,observed_between_change,latent_between_change,observed_group_mean_variance_change,observed_icc_change,latent_icc_change
convergence_only,73,0.462749,0.51,-0.013465,0.005658,-0.034109,0.04594,0.085433
convergence_only,74,0.470332,0.51,-0.007485,-0.02168,-0.028398,0.112687,0.120722
convergence_only,75,0.447788,0.51,0.011568,0.007664,-0.008771,0.077569,0.097355
convergence_only,76,0.462699,0.51,-0.005672,0.002032,-0.025872,0.045449,0.06399
convergence_only,77,0.44418,0.51,0.025366,0.016788,0.006062,0.080962,0.089545
convergence_only,78,0.438178,0.51,-0.019096,0.001776,-0.038355,0.051178,0.087052
convergence_only,79,0.470236,0.51,0.001517,-0.006134,-0.019193,0.072481,0.078214
convergence_only,80,0.45364,0.51,-0.024159,-0.002315,-0.043897,0.047979,0.086517
convergence_only,81,0.414147,0.51,-0.033378,-0.021173,-0.049099,0.054141,0.099117
convergence_only,82,0.427617,0.51,-0.004818,0.001026,-0.022911,0.051379,0.080469
convergence_only,83,0.473312,0.51,0.002704,0.00706,-0.018578,0.051082,0.074544
convergence_only,84,0.483604,0.51,0.010727,-0.005613,-0.011568,0.089124,0.094434
convergence_only,85,0.470367,0.51,8.56e-4,-0.007135,-0.01977,0.08158,0.094939
convergence_only,86,0.434346,0.51,0.013046,-0.005301,-0.005983,0.068899,0.069038
convergence_only,87,0.457376,0.51,-0.005415,-0.003318,-0.024914,0.075561,0.100534
convergence_only,88,0.471867,0.51,0.001451,-0.003308,-0.02044,0.074061,0.091522
convergence_only,89,0.435539,0.51,0.001844,0.012161,-0.016095,0.064221,0.101155
convergence_only,90,0.489611,0.51,-0.016537,-0.01027,-0.039222,0.039559,0.049389
convergence_only,91,0.448071,0.51,0.01618,0.004647,-0.003087,0.096897,0.110246
convergence_only,92,0.422551,0.51,-0.034676,-0.005541,-0.05271,0.03755,0.088744
convergence_only,93,0.462908,0.51,-0.046481,-0.022004,-0.066766,0.071843,0.112945
convergence_only,94,0.469899,0.51,0.003381,0.009113,-0.015875,0.079502,0.108022
convergence_only,95,0.471666,0.51,-0.007759,0.006438,-0.026392,0.045694,0.079134
convergence_only,96,0.450293,0.51,0.006223,0.004937,-0.012655,0.063826,0.085755
convergence_only,97,0.481821,0.51,0.020247,0.003458,-6.78e-4,0.10734,0.106059
convergence_only,98,0.420929,0.51,-0.002248,0.001795,-0.020952,0.059159,0.094076
convergence_only,99,0.446066,0.51,-0.004117,-0.020899,-0.022367,0.077481,0.090973
convergence_only,100,0.473206,0.51,-0.018321,-0.010221,-0.038709,0.067376,0.093442
convergence_only,101,0.46936,0.51,0.017923,0.011992,-0.003694,0.077529,0.09145
convergence_only,102,0.476453,0.51,-0.002543,0.010988,-0.022767,0.081421,0.112478
convergence_only,103,0.468334,0.51,0.01584,0.010252,-0.005135,0.047206,0.051932
convergence_only,104,0.451841,0.51,-0.001677,-0.003599,-0.021735,0.087118,0.114099
convergence_only,105,0.462609,0.51,-0.002715,-0.006335,-0.021881,0.089334,0.111804
convergence_only,106,0.480721,0.51,0.0069,0.013882,-0.014182,0.071409,0.097544
convergence_only,107,0.482424,0.51,0.01673,0.011725,-0.005536,0.08262,0.094597
convergence_only,108,0.474684,0.51,-0.022086,0.003543,-0.044249,0.06469,0.099592
convergence_only,109,0.458251,0.51,0.003862,0.006841,-0.016519,0.053503,0.075063
convergence_only,110,0.452635,0.51,0.010514,0.007837,-0.011342,0.072735,0.092316
convergence_only,111,0.484692,0.51,0.01016,-0.004969,-0.012089,0.06458,0.058753
convergence_only,112,0.458354,0.51,-0.013464,-0.017448,-0.035131,0.06843,0.087056
convergence_only,113,0.45774,0.51,-0.00294,0.004298,-0.02267,0.044927,0.06567
convergence_only,114,0.477104,0.51,-0.001516,-0.00457,-0.021729,0.072187,0.085944
convergence_only,115,0.458502,0.51,0.007606,-0.005115,-0.014294,0.064769,0.069343
convergence_only,116,0.465521,0.51,0.026988,0.011735,0.006753,0.070568,0.069724
convergence_only,117,0.472719,0.51,-0.007454,-0.00854,-0.02798,0.066151,0.072368
convergence_only,118,0.426779,0.51,-3.07e-4,-0.017154,-0.018121,0.086614,0.105735
convergence_only,119,0.474982,0.51,0.008599,-0.002445,-0.013219,0.105645,0.115812
convergence_only,120,0.45318,0.51,0.022218,0.005569,0.002409,0.105624,0.115082
convergence_only,121,0.475404,0.51,-0.013225,-0.001375,-0.034913,0.053703,0.083071999999999993
convergence_only,122,0.46619,0.51,0.006491,-0.003144,-0.013672,0.069568,0.074972
convergence_only,123,0.469502,0.51,-6.92e-4,-0.010284,-0.020874,0.078198,0.083188
convergence_only,124,0.432917,0.51,0.015954,0.016599,-0.003373,0.090468,0.118012
convergence_only,125,0.468801,0.51,0.004828,0.008309,-0.013408,0.080894,0.104816
convergence_only,126,0.490143,0.51,-0.006446,-0.005768,-0.028844,0.061697,0.073955
convergence_only,127,0.465011,0.51,-0.018318,-0.0025959999999999998,-0.036702,0.081221,0.120615
convergence_only,128,0.448273,0.51,0.019284,0.00852,1.56e-4,0.072817,0.084677
